OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,Shape_Leng,zone,LocationID,borough,F_id,amenity,name,wikidata,FID_1,wheelchair,addr_city,addr_house,addr_stree,opening_ho,phone,website,addr_postc,addr_state,brand,brand_wiki,cuisine,ele,gnis_featu,outdoor_se,allotments,cocktails,drink_beer,drink_liqu,drink_wine,created_by,source,happy_hour,building,old_name,bar,diet_vegan,diet_veget,internet_a,payment_ca,payment_cr,payment_de,toilets,toilets_un,tourism,addr_count,check_date,diet_chick,diet_fish,diet_glute,diet_lacto,diet_meat,diet_non_v,diet_ovo_v,diet_plant,diet_seafo,level,payment_ma,payment_vi,opening__1,contact_fa,contact_in,delivery,email,takeaway,website_me,alt_name,drink_coff,smoking,nysgissam_,addr_unit,indoor_sea,wikipedia,name_zh,drink_tea,internet_1,organic,reservatio,toilets_ac,toilets_wh,air_condit,payment__1,fixme,branch,changing_t,facebook,instagram,twitter,addr_floor,highchair,microbrewe,payment_am,payment_di,seats,start_date,contact_ph,contact_we,descriptio,craft,official_n,drink_sake,dog,atm,drink_sang,fax,addr_hou_1,source_ele,payment_co,full_name,opening__2,opening__3,shop,contact_tw,was_name,was_phone,was_websit,not_brand_,disused,catering,addr_flats,alcohol,drink_espr,contact_ti,source_nam,source_cui,building_l,live_music,diet_koshe,short_name,payment__2,diet_halal,drive_in,capacity,url,contact_em,constructi,operator,check_da_1,temp,dish,ref,wheelcha_1,entrance,payment__3,designatio,brewery,sport,note,nursery,opening__4,stars,name_en,wifi,food,was_amenit,payment_bi,not_name,disused_am,drive_thro,leisure,breakfast,drink_whis,drink_byob,black_owne,internet_2,self_servi,height,name_th,contact_sm,phases,name_bn,name_es,payment_ap,drink_smoo,nycdoitt_b,walkup_win,loc_name,diet_lac_1,diet_pesce,strapline,location,name_alt,disused_we,is_in,payment_nf,disused_cu,reservat_1,contact__1,diet_dairy,diet_dai_1,payment__4,phone_mnem,seasonal,diet_nut_f,check_da_2,currency_X,payment__5,payment_li,payment__6,payment_on,coffee,check_da_3,contact__2,fixme_atp,office,diet_soul_,certificat,certific_1,certific_2,brand_en,brand_zh,name_zh_Ha,name_ja,old_websit,opening__5,pets_allow,lunch,disused_sh,contact_li,name_ru,name_it,second_han,was_cuisin,survey_dat,was_brand,was_brand_,brand_ja,theme,take_out,drink_cide,diet_healt,diet_medit,street_ven,website_re,level_ref,contact_na,was_shop,descript_1,women_owne,contact_yo,airside,diet_organ,name_uk,drink_soju,name_ko,website_bo,dinner,name_fa,access,addr_place,amenity_1,name_fr,owner,contact_ye,source_ope,opening__6,name_en_fo,name_etymo,name_ety_1,name_pronu,name_de,image,payment__7,delivery_w,delivery_p,oven,cuisine_ja,drink_bubb,contact_pi,delivery_f,delivery_m,drink_juic,name_tr,toilets_nu,drink_cock,brunch,addr_zip,payment__8,payment,deli,opening__7,restaurant,payment_el,payment_jc,payment_un,fireplace,cafe,payment_pa,nysgissa_1,payment__9,disused_na,jukebox,television,brunch_men,dinner_men,lunch_menu,mapillary,drink_lass,indoor,rice_noodl,payment_eb,country,payment_10,addr_full,changing_1,descript_2,source_ref,construc_1,origin,payment_ch,nysgissa_2,cuisine_di,payment_go,brand_wi_1,pizza_styl,addr_subur,diet_jain,name_ar,payment_qr,drink_sush,karaoke,vegetarian,diet_Carne,name_zh__1,descript_3,payment_ta,payment_te,contact_bl,services,name_vi,kids_area,byob,breakfast_,music,check_da_4,brand_webs,name_yue_H,construc_2,payment_11,year,wikimedia_,cinema,payment_12,offshore,toilets_di,toilets_po,name_ja_rm,toilets_fe,toilets_ha,toilets_pa,website_or,name_bo,opening_da,unit,healthcare,natural,payment_al,payment_we,end_date,operationa,diet_poult,lgbtq,diet_macro,diet_local,contact__3,diet_sugar,service_el,membership,addr_door,payment_13,toilets_me,parking,min_age,descript_4,descript_5,descript_6,descript_7,not_shop,diet_non_h,short_na_1,image_menu,panoramax,Shape_Length,Shape_Area,pickup_by_zone_csv_LocationID,pickup_count,pickup_by_zone_csv_Borough,pickup_by_zone_csv_Zone,pickup_by_zone_csv_service_zone,LocationID_1,dropoff_count,Borough_1,Zone_1,service_zone
136,4,135,136,0.090628715412200,Kingsbridge Heights,136,Bronx,node/2809136676,restaurant,Salsa Con Fuego,,node/2809136676,,Bronx,2297,Cedar Avenue,"Tu 18:00-00:00; We 16:00-24:00; Fr,Sa 16:00-04:00; Su 12:00-22:00",+1-718-561-6161,https://salsaconfuego.com/,10468,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21304.998183943131000,0.000148524994129,136,564,Bronx,Kingsbridge Heights,Boro Zone,136,886,Bronx,Kingsbridge Heights,Boro Zone
137,26,136,137,0.046107624270700,Kips Bay,137,Manhattan,node/357620442,restaurant,Sam Sunny,,node/357620442,,,,,Mo-Th 12:00-22:00; Fr-Sa 12:00-23:00; Su 12:00-22:00,+1-212-837-1044,https://www.samsunnynyc.com,,,,,korean,,,,Samsunny,yes,draught,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13636.687433867626000,0.000116455098947,137,44259,Manhattan,Kips Bay,Yellow Zone,137,52549,Manhattan,Kips Bay,Yellow Zone
138,19,137,138,0.107466933508000,LaGuardia Airport,138,Queens,node/3413255874,restaurant,Yankee Clipper Deli & Restaurant,,node/3413255874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42499.520570331544000,0.000536797294367,138,116319,Queens,LaGuardia Airport,Airports,138,41247,Queens,LaGuardia Airport,Airports
139,12,138,139,0.093299788448300,Laurelton,139,Queens,node/2570596519,restaurant,Jamaica Breeze,,node/2570596519,,,232-02,Merrick Boulevard,,,,11413,NY,,,jamaican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29115.051471893046000,0.000446669880154,139,498,Queens,Laurelton,Boro Zone,139,1042,Queens,Laurelton,Boro Zone
140,33,139,140,0.047584291132500,Lenox Hill East,140,Manhattan,node/2718031019,restaurant,Felice 64,,node/2718031019,,New York,1166,1st Avenue,,,,10065,NY,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13301.798936170288000,0.000114203907779,140,78540,Manhattan,Lenox Hill East,Yellow Zone,140,80023,Manhattan,Lenox Hill East,Yellow Zone
141,74,140,141,0.041514463871200,Lenox Hill West,141,Manhattan,node/2131791182,restaurant,Bohemian Spirit Restaurant,,node/2131791182,yes,,321,East 73rd Street,"Mo 17:00-22:00; Tu-Fr 17:00-23:00; Sa 11:00-15:00, 17:00-23:00; Su 11:00-15:00, 17:00-22:00",+1 212-861-1038,https://bohemianspiritrestaurant.com/,10021,,,,czech;brunch,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,yes,,,yes,,,,,0,,,,https://www.facebook.com/bsrnewyork/,,yes,bsrnewyork@gmail.com,yes,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13524.315467348006000,0.000076654557902,141,88691,Manhattan,Lenox Hill West,Yellow Zone,141,99861,Manhattan,Lenox Hill West,Yellow Zone
142,55,141,142,0.038175894232100,Lincoln Square East,142,Manhattan,node/2089444285,restaurant,The Smith,,node/2089444285,yes,New York,1900,Broadway,Mo-Th 07:30-00:00; Fr 07:30-01:00; Sa 09:00-01:00; Su 09:00-00:00,+1-212-496-5700,https://thesmithrestaurant.com/,10023,NY,,,american,,,yes,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,yes,,,yes,,,,,,,,,,recommended,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12253.969683892781000,0.000075653792074,142,125902,Manhattan,Lincoln Square East,Yellow Zone,142,110376,Manhattan,Lincoln Square East,Yellow Zone
143,9,142,143,0.054179853884900,Lincoln Square West,143,Manhattan,node/2745038464,restaurant,Cafe Luxembourg,,node/2745038464,,New York,200,West 70th Street,"Mo-Tu 08:00-23:00, We-Fr 08:00-00:00, Sa 09:00-00:00, Su 09:00-23:00",+1-212-873-7411,https://cafeluxembourg.com/,10023,NY,,,french,,,yes,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,no,,,,,,,,,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16124.666036530716000,0.000151094269010,143,47654,Manhattan,Lincoln Square West,Yellow Zone,143,57202,Manhattan,Lincoln Square West,Yellow Zone
144,116,143,144,0.027620166850500,Little Italy/NoLiTa,144,Manhattan,node/419362699,restaurant,The Musket Room,,node/419362699,,,,,Tu-Sa 17:00-23:00,+1-212-219-0764,https://www.musketroom.com,,,,,continental;eclectic,,,,,yes,yes,yes,yes,,,Tu-Sa 17:00-19:00,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265 Musket Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8914.813685353785300,0.000047478967037,144,45112,Manhattan,Little Italy/NoLiTa,Yellow Zone,144,41206,Manhattan,Little Italy/NoLiTa,Yellow Zone
145,78,144,145,0.114313844981000,Long Island City/Hunters Point,145,Queens,node/1765445839,restaurant,Skinny's Cantina,,node/1765445839,yes,Long Island City,4705,Center Boulevard,,,https://www.skinnyscantina.com/,11109,NY,,,mexican,,,,,,,,,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,info@skinnyscantina.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37499.912401847803000,0.000346641733797,145,7039,Queens,Long Island City/Hunters Point,Boro Zone,145,11609,Queens,Long Island City/Hunters Point,Boro Zone
146,24,145,146,0.047140521571700,Long Island City/Queens Plaza,146,Queens,node/1683222646,restaurant,Caf茅 Triskell,,node/1683222646,,,,,,,http://www.cafetriskell.co/,,,,,french,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14269.784510467452000,0.000104638923425,146,3503,Queens,Long Island City/Queens Plaza,Boro Zone,146,3879,Queens,Long Island City/Queens Plaza,Boro Zone
147,1,146,147,0.058765494926800,Longwood,147,Bronx,node/2799974187,restaurant,Seis Vecinos,,node/2799974187,,Bronx,640,Prospect Avenue,Mo-Su 09:00-00:00,+1 718 684 8604,https://www.seisvecinos.com/,10455,NY,,,honduran;mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,info@seisvecinos.com,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18964.890147544949000,0.000106418172757,147,533,Bronx,Longwood,Boro Zone,147,708,Bronx,Longwood,Boro Zone
148,144,147,148,0.039130501563300,Lower East Side,148,Manhattan,node/662433328,restaurant,Freemans,,node/662433328,,New York,8,Freeman Alley,Mo-Th 11:00-23:00; Fr 11:00-02:00; Sa 10:00-02:00; Su 10:00-23:00,+1-212-420-0012,https://www.freemansrestaurant.com,10002,NY,,,american,,,,,yes,yes,yes,yes,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,Mo-Th 11:00-23:00; Fr 11:00-01:00; Sa 10:00-01:00; Su 10:00-23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12385.497476426915000,0.000069748992133,148,50608,Manhattan,Lower East Side,Yellow Zone,148,48045,Manhattan,Lower East Side,Yellow Zone
149,16,148,149,0.083680582183700,Madison,149,Brooklyn,node/2562932530,restaurant,East Sushi Bistro,,node/2562932530,,,2106,East 19th Street,"Mo,We-Th 11:30-21:30; Fr-Sa 11:30-22:30; Su 11:30-21:30",+1-718-648-0800,,11229,,,,sushi,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26237.257809216455000,0.000270639618955,149,444,Brooklyn,Madison,Boro Zone,149,914,Brooklyn,Madison,Boro Zone
150,18,149,150,0.089331491183000,Manhattan Beach,150,Brooklyn,node/2553232123,restaurant,V&S Pizza & Restaurant,,node/2553232123,,Brooklyn,1715,Emmons Avenue,"Mo-Th 11:00-23:00; Fr,Sa 11:00-24:00; Su 12:00-23:00",+1-718-332-7300,,11235,NY,,,pizza,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45818.866590119942000,0.000332568036088,150,318,Brooklyn,Manhattan Beach,Boro Zone,150,611,Brooklyn,Manhattan Beach,Boro Zone
151,41,150,151,0.054889941099900,Manhattan Valley,151,Manhattan,node/1825848790,restaurant,Kesari,,node/1825848790,,New York,2701,Broadway,,,,10025,NY,,,indian,,,,,,,,,,,,,,,,,,,,,,,,US,2025-01-21,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12778.711666676820000,0.000128848901918,151,30734,Manhattan,Manhattan Valley,Yellow Zone,151,33570,Manhattan,Manhattan Valley,Yellow Zone
152,9,151,152,0.057909476878200,Manhattanville,152,Manhattan,node/2479519219,restaurant,Dinosaur Bar-B-Que,,node/2479519219,,New York,700,West 125th Street,,+1 212 694-1777,https://dinosaurbarbque.com/,10027,,,,barbecue,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17049.402272518961000,0.000146637644064,152,4759,Manhattan,Manhattanville,Boro Zone,152,6905,Manhattan,Manhattanville,Boro Zone
153,0,152,153,0.024737239022000,Marble Hill,153,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7741.239335699277900,0.000032468496482,153,168,Manhattan,Marble Hill,Boro Zone,153,276,Manhattan,Marble Hill,Boro Zone
154,0,153,154,0.227331570760000,Marine Park/Floyd Bennett Field,154,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114675.061771157300000,0.001789686924330,154,50,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,154,531,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone
155,5,154,155,0.169808473032000,Marine Park/Mill Basin,155,Brooklyn,node/2565438951,restaurant,La Villa Pizzeria,,node/2565438951,,Brooklyn,6610,Avenue U,,,,11234,NY,,,pizza;italian,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92435.283065077936000,0.000868261018498,155,790,Brooklyn,Marine Park/Mill Basin,Boro Zone,155,1668,Brooklyn,Marine Park/Mill Basin,Boro Zone
156,19,155,156,0.144476890476000,Mariners Harbor,156,Staten Island,node/2384399614,restaurant,IHOP,,node/2384399614,,Staten Island,935,Richmond Avenue,Mo-Th 06:30-22:00; Fr 06:30-24:00; Sa 00:00-24:00; Su 00:00-22:00,+1 718-494-4467,https://restaurants.ihop.com/en-us/ny/staten-island/breakfast-935-richmond-ave-4691,10314,NY,IHOP,Q1185675,breakfast;pancake,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72435.916122763840000,0.001052121744300,156,5,Staten Island,Mariners Harbor,Boro Zone,156,43,Staten Island,Mariners Harbor,Boro Zone
